1.81188,1.37404,0.315426,1.14764,-0.4412,1.36956,-1.1468,3.55742,2.40978,1.94346,32.0233,6.59959,5.22663,7.70541e-11,6.28319
1.81509,1.37804,0.315214,1.15282,-0.440531,1.37623,-1.14915,3.55509,2.40058,1.95187,31.7616,6.57265,5.24094,8.17144e-06,6.28317
1.81809,1.38299,0.31477,1.1595,-0.439566,1.38241,-1.1526,3.55254,2.391,1.96094,31.4316,6.55196,5.26027,1.22229e-10,6.28319
1.82054,1.3874,0.314822,1.16525,-0.437571,1.39037,-1.15805,3.54993,2.38054,1.97036,31.1499,6.52074,5.27659,1.26717e-10,6.28319
1.82273,1.39255,0.313946,1.17157,-0.438416,1.39625,-1.16022,3.54732,2.37112,1.97948,30.8487,6.50016,5.29508,8.4966e-06,6.28318
1.82482,1.39692,0.314862,1.1777,-0.436706,1.40317,-1.16386,3.5448,2.36168,1.98808,30.5597,6.47713,5.31319,7.67272e-11,6.28319
1.82644,1.4011,0.315467,1.18347,-0.436563,1.40964,-1.16587,3.54228,1.99617,2.35281,30.2929,6.45556,5.33022,5.94682e-06,6.28318
1.82767,1.40488,0.316098,1.18877,-0.437229,1.41502,-1.16646,3.54001,2.34521,2.00317,30.0521,6.43899,5.34606,4.55173e-06,6.28318
1.82812,1.40769,0.317335,1.19292,-0.436253,1.42012,-1.16893,3.53819,2.3388,2.00883,29.8648,6.42268,5.35854,3.05265e-06,6.28318
1.82788,1.40992,0.318183,1.19589,-0.437056,1.42302,-1.1689,3.5369,2.3346,2.01278,29.7332,6.41388,5.36749,1.98431e-06,6.28318
1.82731,1.41087,0.319319,1.19766,-0.437812,1.42622,-1.16857,3.53583,2.33128,2.01542,29.6547,6.40258,5.37238,1.37194e-06,6.28318
1.82594,1.41133,0.319755,1.19922,-0.438682,1.42733,-1.16878,3.5352,2.32995,2.01639,29.5871,5.37709,6.402,1.51437e-06,6.28318
1.82399,1.41075,0.320185,1.19966,-0.438931,1.42656,-1.1693,3.53526,2.33092,2.01528,29.5687,6.40922,5.37866,2.12487e-06,6.28318
1.8214,1.4087,0.320337,1.19806,-0.44036,1.42511,-1.16835,3.53579,2.33365,2.01229,29.6399,6.41543,5.37338,3.71302e-06,6.28318
1.81834,1.40583,0.320725,1.19583,-0.441206,1.42215,-1.16741,3.53683,2.33824,2.00756,29.7399,6.42907,5.36643,5.95974e-06,6.28318
1.81511,1.4019,0.321462,1.19244,-0.441933,1.41785,-1.16533,3.53839,2.00091,2.34483,29.8921,6.44791,5.35602,8.44176e-06,6.28317
1.81129,1.39677,0.321493,1.18737,-0.443652,1.41315,-1.16283,3.54031,2.35286,1.99266,30.1218,6.4654,5.34013,1.89466e-10,6.28319
1.80717,1.391,0.321622,1.18174,-0.444196,1.4063,-1.16097,3.54287,2.36333,1.98233,30.3809,6.49405,5.3233,3.17129e-10,6.28319
1.80312,1.38397,0.322412,1.1745,-0.443835,1.39895,-1.15876,3.54595,2.37548,1.97015,30.7184,6.52341,5.30172,4.64947e-10,6.28319
1.79885,1.37695,0.321988,1.1672,-0.444937,1.38964,-1.15545,3.54926,2.38938,1.95669,31.0673,6.563,5.28065,6.05512e-10,6.28319
1.79477,1.36938,0.32277,1.1603,-0.444834,1.37981,-1.15155,3.55269,2.40435,1.94195,31.4042,6.61017,5.26135,8.30975e-10,6.28319
1.79044,1.3621,0.322703,1.15348,-0.445943,1.36863,-1.14683,3.55622,2.42036,1.92659,31.746,6.6649,5.2428,9.43083e-10,6.28319
1.78719,1.35487,0.32137,1.14094,-0.450244,1.3492,-1.13428,3.56209,2.44366,1.90708,32.3909,6.74255,5.20901,1.90903e-09,6.28319
1.78375,1.34749,0.320776,1.13113,-0.452149,1.33656,-1.12749,3.56632,2.46137,1.89088,32.909,6.7976,5.18272,7.32365e-10,6.28319
1.78045,1.33992,0.320871,1.12236,-0.452395,1.32835,-1.124,3.56968,2.47547,1.87689,33.3808,6.83425,5.15903,4.88657e-10,6.28319
1.77761,1.33348,0.320703,1.1143,-0.452757,1.31803,-1.11964,3.57321,2.49046,1.86291,33.8275,6.88356,5.13838,3.86122e-10,6.28319
1.77527,1.32735,0.32102,1.10677,-0.452463,1.31005,-1.11623,3.57627,2.50312,1.85071,34.2522,6.92152,5.11902,2.3376e-10,6.28319
1.77363,1.32195,0.321306,1.10019,-0.452838,1.30358,-1.1121,3.57877,2.51376,1.84034,34.6312,6.95242,5.10208,1.2396e-10,6.28319
1.75988,1.30776,0.313343,1.08293,-0.437467,1.34821,-1.1773,3.5755,2.48813,1.85088,35.5672,6.67906,5.04551,1.01549e-07,6.28318
1.75954,1.30381,0.314341,1.07753,-0.436264,1.34478,-1.17516,3.57734,2.49468,1.84429,35.8931,6.69125,5.03186,4.61544e-06,6.28318
